ticker,exists,rows,elapsed_s,note
1990.T,no,0,1.13,empty-history
1991.T,no,0,1.02,empty-history
1993.T,no,0,0.11,empty-history
1995.T,no,0,0.99,empty-history
1996.T,no,0,0.11,empty-history
1998.T,no,0,1.11,empty-history
1999.T,no,0,0.98,empty-history
2005.T,no,0,1.02,empty-history
2006.T,no,0,0.12,empty-history
2007.T,no,0,0.99,empty-history
2008.T,no,0,0.11,empty-history
2010.T,no,0,0.98,empty-history
2020.T,no,0,1.16,empty-history
2021.T,no,0,1.03,empty-history
2022.T,no,0,1.03,empty-history
2023.T,no,0,0.99,empty-history
2024.T,no,0,0.99,empty-history
2025.T,no,0,1.00,empty-history
2026.T,no,0,1.01,empty-history
2027.T,no,0,0.99,empty-history
2028.T,no,0,1.00,empty-history
2029.T,no,0,1.24,empty-history
2030.T,no,0,1.14,empty-history
2035.T,no,0,0.11,empty-history
2049.T,no,0,1.25,empty-history
2051.T,no,0,0.11,empty-history
2052.T,no,0,0.11,empty-history
2054.T,no,0,0.99,empty-history
2056.T,no,0,0.11,empty-history
2057.T,no,0,0.11,empty-history
2058.T,no,0,1.50,empty-history
2059.T,no,0,0.11,empty-history
2061.T,no,0,1.06,empty-history
2062.T,no,0,0.99,empty-history
2063.T,no,0,0.99,empty-history
2064.T,no,0,0.98,empty-history
2074.T,no,0,1.19,empty-history
2075.T,no,0,0.99,empty-history
2076.T,no,0,1.01,empty-history
2077.T,no,0,1.10,empty-history
2078.T,no,0,0.99,empty-history
2079.T,no,0,0.98,empty-history
2099.T,no,0,1.33,empty-history
2100.T,no,0,1.18,empty-history
2101.T,no,0,0.99,empty-history
2102.T,no,0,0.11,empty-history
2103.T,no,0,1.28,empty-history
2104.T,no,0,0.98,empty-history
2105.T,no,0,0.99,empty-history
2106.T,no,0,1.00,empty-history
2107.T,no,0,0.98,empty-history
2110.T,no,0,1.00,empty-history
2111.T,no,0,1.26,empty-history
2113.T,no,0,0.99,empty-history
2115.T,no,0,1.19,empty-history
2116.T,no,0,0.11,empty-history
2118.T,no,0,1.38,empty-history
2119.T,no,0,0.97,empty-history
2123.T,no,0,1.22,empty-history
2125.T,no,0,1.02,empty-history
2126.T,no,0,1.21,empty-history
2128.T,no,0,0.99,empty-history
2129.T,no,0,1.22,empty-history
2131.T,no,0,0.12,empty-history
2132.T,no,0,1.02,empty-history
2133.T,no,0,1.13,empty-history
2135.T,no,0,1.00,empty-history
2137.T,no,0,0.99,empty-history
2140.T,no,0,1.19,empty-history
2141.T,no,0,0.99,empty-history
2142.T,no,0,1.21,empty-history
2143.T,no,0,1.00,empty-history
2144.T,no,0,1.04,empty-history
2145.T,no,0,1.12,empty-history
2147.T,no,0,0.98,empty-history
2149.T,no,0,1.30,empty-history
2151.T,no,0,1.00,empty-history
2155.T,no,0,1.11,empty-history
2159.T,no,0,1.31,empty-history
2161.T,no,0,1.14,empty-history
2165.T,no,0,1.03,empty-history
2166.T,no,0,0.99,empty-history
2167.T,no,0,0.98,empty-history
2171.T,no,0,1.00,empty-history
2172.T,no,0,1.00,empty-history
2174.T,no,0,1.18,empty-history
2176.T,no,0,0.99,empty-history
