ticker,cross_month,ma9,ma24,latest_close
6951.T,2026-04,5470.27,5324.61,7066.0
5918.T,2026-04,7095.69,7013.2,7100.0
6506.T,2026-04,4322.85,4238.27,7128.0
9824.T,2026-02,4826.27,4771.79,7130.0
2702.T,2026-02,6368.5,6261.96,7240.0
4063.T,2026-04,5331.49,5210.11,7310.0
5201.T,2026-01,4740.69,4656.1,7616.0
6407.T,2026-01,2838.01,2682.45,7760.0
6324.T,2026-04,3500.31,3480.78,7770.0
7995.T,2025-12,3483.86,3471.54,8060.0
4021.T,2025-12,4780.08,4769.86,8106.0
5310.T,2026-04,4986.13,4830.78,8350.0
5332.T,2026-02,4217.01,4064.93,8390.0
5713.T,2025-12,4201.37,4038.53,8607.0
1499.T,2026-02,8849.58,8844.2,8721.0
7826.T,2026-02,3532.24,3480.33,9090.0
6370.T,2026-01,5834.86,5707.07,9563.0
3597.T,2026-03,9735.56,9693.54,10210.0
6728.T,2026-03,7313.78,7074.6,10255.0
6960.T,2025-12,6716.42,6679.86,10480.0
6490.T,2026-01,4436.76,4433.33,10980.0
4971.T,2026-01,3870.71,3636.72,11340.0
6981.T,2026-01,2714.6,2683.71,11750.0
1487.T,2025-12,12333.24,12315.99,12175.0
1691.T,2026-02,8063.44,8019.0,12550.0
6627.T,2025-12,4385.92,4208.18,12740.0
6866.T,2026-04,6862.74,6820.33,12790.0
6961.T,2026-01,6677.23,6441.41,13520.0
6387.T,2026-01,3585.48,3573.1,14580.0
4970.T,2026-03,7500.15,7030.93,15900.0
7735.T,2026-01,6653.17,6244.47,16745.0
6976.T,2025-12,3000.54,2977.15,19315.0
6367.T,2026-03,18643.6,18439.04,23890.0
1622.T,2025-12,31970.08,31656.91,32350.0
1620.T,2026-01,29769.63,29320.69,38990.0
9285.T,2026-05,50087.52,49660.68,48900.0
9286.T,2026-03,52664.69,52332.82,53500.0
6920.T,2026-02,25129.86,23914.44,55100.0
9282.T,2026-03,51655.56,49788.18,57400.0
9287.T,2026-02,57244.44,55853.64,66700.0
6273.T,2026-05,60473.15,58743.54,72840.0
8035.T,2026-01,29215.85,27866.52,75360.0
6861.T,2026-06,63563.09,62280.41,77700.0
6146.T,2026-01,46185.6,44741.52,84900.0
9284.T,2025-12,82012.69,81207.3,87500.0
3470.T,2026-01,106936.08,105980.27,108100.0
2033.T,2026-06,29521.11,20937.5,150600.0
